time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,population_run_7,population_run_8,population_run_9,ca2mean_run_9,ca2mean_run_8,ca2mean_run_7,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
1,736,673,743,692,768,812,783,674,627,-1444.9819930215385,1305.5788276763217,6550.251144135754,1780.2922960466967,-10376.166345503521,3481.9261263872318,8299.785480711744,-88.67516224480123,-81.66323983998174
2,1288,1229,1255,1241,1331,1406,1273,1123,1074,-1333.9683693239544,1322.39390867232,6549.297901671254,2154.065419138402,-10376.727557948638,3072.4430854726247,8319.450034995294,-139.48347288473224,-174.34110071371973
3,1871,1795,1850,1965,1879,2115,1810,1734,1625,-1170.9134504063306,1419.9707516290987,6394.956779954681,2182.784902873365,-10282.48864086232,2874.4798278937287,7359.566368078467,-38.030084482436834,-209.55475686929623
4,2585,2462,2457,2677,2442,2810,2556,2314,2243,-1282.0469968154416,996.9556505424648,6366.035781827333,1981.8169605916871,-10288.453193242423,3060.6509105077803,7311.492419917564,-256.7407452223409,-261.0582589362839
5,3294,3050,3016,3259,3144,3454,3214,2931,2763,-1376.359792429051,800.2968984026568,5145.574983399082,1953.955273709679,-7592.300126559602,3408.135866663132,7255.2138130839585,-417.8714781707348,-336.017750740868
6,3847,3663,3578,3777,3788,3977,3749,3473,3413,-220.18318948137488,786.6926837800482,4333.215190350319,1376.5329694327686,-5142.484318941029,3179.660365990866,4682.735361882251,-397.96375812998315,-150.57846719452027
7,4304,4048,4113,4181,4177,4344,4248,4008,3868,-319.62963646978613,542.9223101028807,4327.339043672716,1190.4239014632055,-4262.560257703389,2744.4066882157294,4918.460444771328,-313.37732626646385,-250.7267965903663
8,4658,4398,4391,4483,4518,4580,4522,4443,4253,-349.9090089700702,379.324608646853,2065.000853760125,1211.87012441963,-2036.8334188458105,2451.152169030346,4951.408801815402,-321.4799607771434,-294.5248402834949
9,4858,4662,4588,4771,4837,4782,4791,4664,4576,-401.13377679121186,358.2776464151208,1791.4891347643184,1058.6173940898027,-2094.8953965895244,1518.7374838193568,4955.357796844389,-245.5984343040598,-595.9775407920195
10,5044,4812,4774,4870,5022,4911,4880,4802,4867,-269.52237905301433,377.03136667559306,454.9984547830656,897.9876204921552,-1295.4711750867464,1404.0986111092345,2961.5961825983804,-103.61465487109257,-521.8321727411933
11,5194,4946,4858,4932,5032,5008,4999,4893,5027,-368.3291056148585,240.76076154248432,383.547284640859,860.3705443572028,-1150.0884179171833,905.8158629269118,3028.8904814898638,67.35829226568448,-544.8900175871281
12,5243,4972,4968,4978,5058,5002,5023,4925,5088,-450.4382241569324,84.76927717247828,456.97828609607603,810.2824105184635,-340.40874385089967,302.4790471846366,3098.3556352191904,52.72123551920139,-503.90679033641635
13,5254,5018,4951,5002,5099,5026,5045,4945,5107,-373.44951882809266,-234.63750741969855,171.67322607303163,640.5837788053251,-261.2107456918785,285.32044751653115,1996.6799761485795,52.38867190077479,-410.51014925001596
14,5205,5014,4980,4968,5033,4937,5020,4955,5076,-408.1729627875919,-330.9857674654884,185.60657084412782,451.34554105128996,236.46238604946882,-40.20507903948898,1652.1114647287843,39.68559491735556,-350.4095024694574
15,5099,4942,4956,4864,5012,4907,4928,4892,5037,-35.44347673422222,-327.2290256343581,142.24208018759356,356.4606557670873,252.65301813999,131.76037112593713,1195.6919948388147,34.47021716875318,-276.4607796415423
16,5068,4873,4941,4813,4929,4851,4875,4859,4961,26.666796511711347,-230.5387449424992,124.85130829930429,233.51122084542314,297.0027995467049,150.6653577744695,1215.042164727048,48.010921962860394,-192.44273463134235
17,4978,4786,4925,4694,4845,4759,4833,4741,4897,98.86319492454379,-243.3438980697975,118.20022556843824,240.69056702798466,116.30245015176651,163.47727271699492,705.6151521055522,14.773799010948009,-130.49495377256804
18,4813,4656,4852,4538,4760,4655,4755,4623,4760,68.31382358857195,-184.74553525631933,101.50959422353134,201.63832045202918,134.71107339949475,119.43716940308138,590.3650469161691,-26.453741298660056,-114.72304468457617
19,4650,4494,4740,4420,4685,4551,4653,4561,4650,52.31438420372208,-136.0462288618639,103.02968712937161,123.05226595789202,150.98478482412142,65.11759206188586,586.9574089280677,-53.25912602370729,-86.80474592918554
20,4536,4425,4627,4324,4584,4418,4528,4469,4533,43.92179239900398,-183.72640103474512,97.49231680219455,91.54969536301188,187.8081861108453,24.11845448602024,353.1483679644306,-37.72072419878493,-76.49526944346933
21,4391,4322,4571,4203,4401,4291,4404,4409,4445,26.820781573950583,-139.58969177760176,74.33228894100412,78.75711431763678,91.52667397693544,52.07609208424555,234.9943170641827,-45.78901329351324,-56.232953826616125
22,4210,4156,4431,4028,4276,4144,4236,4295,4296,23.489237800383236,-81.98107960188877,50.25554045528182,65.32432280156935,48.97748699011505,55.38458715407161,230.25465163517433,-36.35400545999267,-41.95021083136466
23,4092,4005,4318,3911,4111,3997,4099,4143,4105,10.7160235540782,-31.47851596934431,41.651821815825585,59.858123913346645,12.605814380133317,47.05871058558193,130.1048523972372,-25.687895306966702,-42.26262795838051
