time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,population_run_7,population_run_8,population_run_9,ca2mean_run_9,ca2mean_run_8,ca2mean_run_7,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
1,767,747,1012,790,886,715,677,734,656,170.0668368966495,4465.557974791681,3443.147412571756,-3185.303706492763,915.3491718189968,-4129.04953112431,7990.994546949784,494.1741622304479,6209.108107414193
2,1336,1313,1633,1369,1494,1205,1359,1285,1178,194.15896110097933,4461.470797031456,3375.6857384605923,-3211.366923341663,979.2543614921883,-4054.0206181446197,7973.080130094539,455.46316589911083,6226.303024139105
3,1995,1984,2341,2035,2209,1748,2030,1849,1810,186.05932755534945,4459.700542225636,3323.1927571371893,-3215.037531622029,1124.7104736704855,-4097.5764627979925,7123.4704799365245,501.51393127231074,5684.071345897256
4,2866,2785,2920,2649,2910,2433,2701,2595,2484,259.4948590762413,3846.8758031634598,3356.134139058455,-3294.988406388791,956.3727832253029,-3703.0620876981848,6473.5513351577465,521.7211363157113,5833.561377187583
5,3548,3572,3559,3352,3655,3193,3347,3122,3055,316.3301598468629,3330.8269291426395,3305.7619208308956,-3089.8747472379455,810.2304155551062,-3727.6760207231023,6559.204711037221,550.2505487296784,5792.719330148107
6,4068,4271,4247,3985,4308,3963,3925,3660,3804,401.12172430921066,3130.648234753778,3335.676231580133,-2786.311993106741,869.0893609860696,-3795.729752711437,5636.9515154233,530.2875031845668,5802.822613019492
7,4590,4745,4764,4589,4782,4443,4368,4193,4267,423.5638549182266,3200.635525855414,2140.123888293864,-2764.8285410916383,494.76446199895696,-2924.8093373199135,4595.725040910526,624.645514396305,4494.436714369359
8,4938,5189,5166,4983,5141,4864,4783,4636,4735,366.40181937722235,3101.1451058738444,2020.5006125821046,-2316.432906645585,578.0887779642613,-2444.8460514368126,4572.625073856796,621.5209471774459,4172.590354252877
9,5193,5382,5391,5226,5431,5264,5137,4962,5113,313.3673976812828,2760.0694995761287,1418.5863071401934,-2015.9750276986758,589.907430083363,-2528.7819919684503,4407.392802771553,581.1493033323744,3569.222898260673
10,5451,5573,5552,5372,5633,5482,5399,5176,5335,290.9515437695838,2592.7939816233106,1326.9296415586223,-1967.5984458179394,549.8801957710475,-2126.6430648620253,2731.079290244158,535.447496511639,3518.1214523092417
11,5600,5698,5656,5599,5717,5628,5580,5423,5556,302.02347885330784,2457.560568825107,1415.8985227635371,-1891.6062722131383,417.0919810576427,-2185.7654657240255,2685.362595134677,563.1615764923673,2955.775823588382
12,5699,5767,5686,5682,5811,5690,5690,5557,5622,296.48236268311575,2508.317431568424,1503.659585837311,-1810.1451532013878,391.604998979443,-1843.3065978243,2674.8614747677298,495.3172701026636,2896.6251292525267
13,5776,5861,5693,5726,5771,5742,5740,5651,5726,324.3187803105288,2428.091058392575,1484.199421759249,-1876.4783118958271,211.77161852513316,-1794.5511746648842,2230.404678054473,468.29345235944555,2041.826008137796
14,5811,5832,5721,5762,5835,5766,5810,5770,5797,281.1588352930476,2364.5190648396783,1250.2763302790827,-1845.9925793158081,222.79802091833676,-1605.1850025023348,2177.6216430481923,505.888033538667,1849.588008223882
15,5805,5875,5801,5811,5845,5739,5795,5797,5846,307.5603703734116,2206.6551205352703,1272.8911507695314,-1653.8952274113992,286.9557476146985,-1585.7442024469806,1292.4193339072108,509.7941988618374,1336.7400394411713
16,5869,5887,5855,5764,5881,5746,5785,5783,5830,294.9948180266582,2017.506230677398,1271.4660972215675,-1573.4315177434935,249.2393061789443,-1511.5100681791064,955.3319340269574,375.03427830895185,1355.8379313704074
