time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,population_run_7,population_run_8,population_run_9,population_run_10,population_run_11,ca2mean_run_11,ca2mean_run_10,ca2mean_run_9,ca2mean_run_8,ca2mean_run_7,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
1,545,557,624,471,565,531,657,459,458,408,575,-4497.9343688754225,5927.215345044187,-630.8730104718751,9853.779638849433,4258.810420707718,5805.217394286777,974.1251677458134,-265.9391216310109,-230.97789314550658,15175.886985066196,-5624.411057626195
2,710,693,795,567,697,642,812,555,535,511,703,-4968.228860917598,6342.536090124833,-604.0162238357348,9260.768161788512,4410.340313728618,6393.581915449582,974.0857432601174,-282.41552569928797,-266.7375033662673,15179.584025747692,-6206.144374059107
3,828,800,964,625,836,762,930,646,648,622,821,-4902.089865904538,5990.3700080927265,-619.2482941853164,9933.490024535218,4604.926518505827,5963.568457929279,1004.217660310929,-289.14119622384493,-294.566687897504,15538.53440192824,-9833.81860955264
4,941,915,1088,699,928,879,1048,743,749,781,980,-4904.389298335466,6278.458880988988,-631.0779455488369,9946.601927558966,4491.985703210108,6486.586614543268,1006.586929106692,-301.20376136948806,-2060.159084877794,15560.66194969107,-10274.560573441513
5,1056,1018,1238,785,1055,962,1174,849,838,901,1095,-4884.727723484391,6828.411762749133,-656.8698146767119,9948.3753214564,4681.506990493279,6435.153184705672,1047.5246674426091,-269.34757323047575,-2610.5921291246664,16043.03337923357,-12337.319277645393
6,1158,1102,1357,923,1197,1062,1262,950,888,967,1225,-4882.3738969515925,7080.2574203719405,-659.9479506893869,10634.693644022067,4865.231185091218,6403.198575724028,1119.9079481041103,-279.57033554848846,-2617.769917728403,16433.270740081007,-12849.216142194336
7,1281,1214,1492,1024,1361,1162,1379,1011,971,1048,1350,-5239.915613091536,6209.137616021865,-689.3892314851178,10752.709383472486,4998.981250196346,6500.860698873949,1128.0733318648404,-300.872205651642,-2619.0938096904474,13766.625922089206,-12443.478896194072
8,1400,1362,1618,1118,1503,1247,1492,1072,1000,1153,1463,-4949.751644308145,6801.579333640105,-691.1397293667214,10764.132153937904,4389.644074455958,6679.598495400291,1161.610363751773,-305.306353724285,-2624.7952851485393,13614.052131737788,-12908.98726276445
9,1529,1541,1739,1202,1607,1365,1625,1136,1029,1245,1565,-5356.695855499491,6475.555831774846,-694.2774935524226,9369.651595563078,4648.309796407822,6205.247591038513,1119.2823274420318,-312.61388233058966,-2630.604017060029,13728.422637003518,-13172.183194541412
10,1629,1696,1854,1264,1721,1480,1743,1338,1133,1333,1595,-5281.712549473657,6614.58034762395,-609.8361946779783,10185.16270745504,4659.345239961596,6201.178481799621,1152.0596524914024,-318.0853895682501,-2631.4194481504774,13256.06478275769,-13127.573468750517
11,1724,1869,1990,1374,1847,1573,1848,1504,1259,1429,1656,-5145.490188408305,6426.315056550423,-609.4633372791258,10544.44087797042,4575.816299199754,6322.129779622562,1124.6633483258527,-305.86587827975785,-3989.6400532202138,13032.491245179997,-13135.153677421737
12,1845,2059,2136,1468,1949,1642,1981,1622,1357,1528,1747,-5247.8409665822655,6541.225742299431,-612.5612711505091,10693.745874250397,4626.452873224019,6321.209845267695,1153.1387798529609,-315.78023022633073,-5966.907831730309,13032.179947106482,-13487.91399518074
13,1947,2196,2245,1559,2045,1765,2130,1716,1506,1659,1812,-5208.507078980112,6366.84019721186,-598.8604693454344,10950.757287004983,4397.1786060045515,6053.560976673053,1170.244382089843,-322.06210417469003,-6196.419545157583,12561.762016612578,-13568.06651006651
14,2077,2368,2316,1622,2147,1921,2262,1813,1625,1772,1886,-5204.14810199279,6596.234182017214,-591.5359173560096,10996.300317992398,4247.101439105544,6136.01241316743,1130.6752138581196,-317.42768343047806,-6188.80269820896,11868.998795240472,-13627.732924524504
15,2182,2512,2451,1668,2266,2028,2413,1892,1743,1894,1983,-5033.676871210496,6244.304940090194,-510.6425245095048,11046.127364894544,4485.836055699395,6152.383652976937,1143.3280181665866,-319.8069991405121,-6180.6443881324685,12021.800074114579,-13658.718258895495
16,2256,2677,2608,1723,2407,2116,2553,1975,1830,2049,2135,-4972.558365096036,6476.097660162228,-471.0718760121823,10582.47611841428,4485.001699846341,6033.68065988132,1138.7870709527533,-317.2873113927194,-8242.90883715543,11426.40846672829,-13690.186278445726
17,2334,2822,2772,1794,2535,2230,2678,2108,1964,2110,2260,-5039.761758084133,6643.271248070182,-466.8520960147082,10670.070600263953,4551.95525385958,6069.718622455206,1141.8323101960875,-316.6353518610464,-8231.50064096041,11362.783197066228,-13713.086725690648
18,2400,2948,2912,1838,2679,2308,2829,2219,2053,2206,2401,-5109.7401886008865,6788.822521921405,-468.0274415235289,10863.819927034581,4341.5813237813945,6082.834992234672,1147.027186174819,-318.32345965642594,-8236.356470305622,11404.585199956708,-13493.687397940032
19,2534,3099,3048,1883,2803,2406,2956,2292,2145,2305,2486,-5089.5758850770535,6783.293899640464,-423.25713404381753,10923.998160898269,4415.863622190319,6006.065287049733,1143.2310399966489,-320.673840002066,-8232.402088926943,11471.435148533305,-13254.09143055317
20,2652,3284,3155,1902,2937,2503,3090,2466,2228,2371,2602,-5078.311975115849,6413.744931278144,-412.7151549226727,10806.578076752,4457.99733912663,6024.214109034088,1147.9965474429166,-317.9330250577303,-8231.982091862128,10216.357904094193,-13252.786150111235
21,2778,3397,3299,2042,3067,2626,3226,2631,2360,2503,2718,-5105.185108212525,6573.323214371479,-401.8396565868216,11114.414595181817,4327.080683484444,6111.870414126068,1168.8791845247622,-297.7514742278657,-9190.771076641724,10226.304098289374,-13215.52670150762
22,2904,3504,3426,2191,3195,2781,3318,2775,2489,2598,2838,-4986.81052892148,6677.591091451396,-392.60374593249014,11058.655681517743,4393.673446486478,6120.622616045512,1149.7289772040901,-305.6762776182456,-9188.597442432563,10284.956217909457,-13081.284964611454
