time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,population_run_7,population_run_8,population_run_9,population_run_10,ca2mean_run_10,ca2mean_run_9,ca2mean_run_8,ca2mean_run_7,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
1,144,172,116,127,139,127,152,187,181,205,-126409.33791025325,-132194.59291393406,-126891.61558798658,-123300.57353335946,-132227.37854320314,-127857.45448773915,-127311.06821735005,-128333.52914065844,-121704.40783333269,-129821.48847666367
2,163,231,121,128,140,111,155,209,186,214,-126404.9346032268,-132372.31683100766,-126516.87494540906,-122974.66136011321,-132975.15628151887,-127847.60966333978,-127315.23886761123,-128326.84227610155,-120605.88937780802,-129824.15488641412
3,191,285,134,121,148,97,163,227,193,228,-126466.35291108335,-132702.1807452836,-126644.8194693502,-123079.01067211576,-133211.49201518472,-127844.59457049557,-127306.93934364396,-128319.67841156169,-119909.29470308402,-130025.18056506732
4,229,303,140,118,141,93,173,234,187,230,-126167.4688873599,-132783.19714133645,-127081.63583774309,-123143.81917503075,-132311.9491681787,-127785.36007237947,-127304.62821612337,-128337.05917005327,-119437.925630751,-130085.26333061063
5,242,326,148,111,136,98,177,240,186,241,-126078.80105446372,-132926.16326347808,-126966.28917366733,-123136.80260165325,-132393.2321177267,-127801.94761873093,-127317.23256518783,-128401.97306604708,-119415.12942893719,-130255.85700650749
6,244,337,141,108,138,100,185,245,185,243,-126199.27244046178,-132343.52457293734,-126606.18271740117,-122978.39447840187,-132403.33922910347,-127805.8747695936,-127316.9274842389,-128380.09333757225,-119218.51261137867,-130403.01174235766
7,238,349,127,105,136,99,187,247,188,249,-126192.21041669961,-132791.24187681387,-126645.40704364047,-123056.32633941463,-132371.04872469942,-127847.74257436108,-127313.68582009246,-128408.56346067162,-119216.19220683568,-130578.29597001041
8,247,357,117,102,140,100,194,256,184,255,-126788.10913949793,-132896.79350514992,-126227.80047279464,-123046.33762676189,-132487.1663925249,-127819.33999957738,-127317.00893255198,-128407.37390028856,-119133.04349051035,-130286.98425458762
9,249,359,106,105,139,98,188,256,171,265,-126718.33266182624,-132944.03277659375,-125971.46012455724,-122931.00859666028,-132865.3029191853,-127834.74238969687,-127318.89232229377,-128369.12285416377,-118878.16946714895,-130326.23748878589
10,247,359,97,105,140,92,187,256,171,268,-126751.26148926407,-132859.3627932931,-126712.12928025384,-122814.37160113848,-132557.96029175422,-127829.40787739046,-127320.55978076065,-128429.87431583345,-118745.62671027033,-130525.01613502527
11,230,370,94,104,131,87,178,270,171,273,-126705.59728963286,-132822.0631064422,-126640.69150451492,-122776.69577508543,-132670.35542923296,-127835.04682467936,-127318.52562115114,-128127.80240567123,-119355.06230439675,-130524.89597990998
12,222,377,88,100,132,79,172,274,168,278,-126443.8557879016,-132859.16814072046,-126769.0158330302,-122727.50130190377,-132872.93744645026,-127838.99619581224,-127315.78894725267,-128119.96629448094,-119126.3247713977,-130569.12826652294
13,232,382,83,95,127,78,175,277,163,283,-126398.60198524015,-132756.64235982575,-126907.02629689916,-122948.85688034788,-132552.922404449,-127844.28585918176,-127314.02564358673,-128141.09974630534,-119082.05583104807,-130138.66088022194
