time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,population_run_7,population_run_8,population_run_9,population_run_10,population_run_11,population_run_12,population_run_13,population_run_14,population_run_15,ca2mean_run_15,ca2mean_run_14,ca2mean_run_13,ca2mean_run_12,ca2mean_run_11,ca2mean_run_10,ca2mean_run_9,ca2mean_run_8,ca2mean_run_7,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
1,4,4,3,29,4,8,3,10,2,8,25,7,17,10,6,-1.2039941756969883,3.2003492372874276,-2.5023988755387014,-1.6890674314336156,2.583609608418837,0.2694897553671533,-1.391810525323328,-2.1312438818888526,6.767106347317185,2.7480972370970065,0.34394181406615737,2.9925688373765276,-0.6301919189169592,-3.5624612804749245,4.391315069524759
2,6,6,4,37,5,13,9,10,2,11,34,10,21,12,8,-1.3159390479325905,3.4680091469497167,-3.0648212156181462,-1.0959455048042201,3.0306162877712475,0.3096692652524855,-1.3920534959211794,-2.1624895937942323,8.533442745936869,3.669757031970724,0.32673550032994114,4.179480655712628,-0.7035452132211963,-3.7138738751951093,4.607773762766405
3,6,6,3,46,5,15,13,12,3,12,41,11,20,13,16,-1.1395115083657859,3.4697194468163937,-2.990756912910073,0.06422607161354985,3.081341450233134,0.3412448790532956,-1.446883563730457,-2.092559544220606,7.421399621185094,3.614560214845478,0.3295454953503292,3.9457710922683025,-0.6538793545818578,-3.7241687943537714,4.398152097641655
4,6,7,3,45,8,17,12,12,4,12,44,10,19,13,18,-1.1574147754318653,3.6569046733369945,-3.062831122512833,0.09958775417906074,3.571634952507507,0.42614909765936415,-1.5740119922802962,-2.2950906195513667,7.092864201397332,3.846687948210479,0.3405540943023688,4.020279441575005,-0.6558980109959274,-4.08567716431403,4.397342342026919
5,11,8,3,45,9,18,13,12,6,16,45,10,22,13,22,-1.2014903820619491,4.097520943223799,-3.116745886492576,0.07593029596502884,3.019473905606455,0.5238807487969737,-1.757705362038903,-2.3376353589194614,7.535905979280144,3.0944288299750444,0.3516204190409545,4.289694334229534,-0.6571705899633532,-4.300774416421884,5.022269137426532
6,14,9,6,50,9,20,14,12,6,16,48,12,21,14,21,-1.2350653818481008,4.104331193647301,-3.2182041755734465,0.29399343445614656,3.140870653168798,0.4789269800005657,-1.757630400191021,-2.1819159017737433,7.610567858329536,2.9965726993415447,0.35929286366455704,3.856567537895405,-0.6926526646456391,-4.247557551607178,5.335856155025091
7,17,10,6,53,9,22,15,12,10,17,48,14,19,15,23,-1.2502171840551684,4.157557831688481,-3.1760425269621284,0.5296076560914642,3.1363986305638676,0.4251455474591636,-1.8049802428403028,-2.2204323079269352,6.9544968015676485,3.0174594039452094,0.3698975523652155,3.6804317284888217,-0.6707648033296759,-3.6094689339481087,5.577672737337176
8,18,10,6,52,10,24,15,12,10,19,49,13,20,17,23,-1.160481714428205,3.833448402326778,-3.2064758528338575,0.524099866293001,2.86407731054763,0.4786465024078815,-1.8118139597036178,-2.2463215917132233,7.538386423375187,2.8844302091990706,0.3739073385657195,3.807462332721645,-0.7028188038989053,-3.6870222140439752,5.644384611522404
9,17,11,6,53,10,23,17,12,14,21,52,13,21,16,21,-1.1938329650279493,3.872886425492329,-2.6946114887100294,0.6154496858233073,3.0223489573274933,0.4994430958496633,-1.5956960517477885,-2.279308540760069,7.199802921953157,2.7972586481970336,0.37883103236053145,3.888605113940819,-0.6606286734695824,-3.8013259584063186,5.627832724130993
10,18,11,6,54,10,22,17,11,14,21,54,13,22,18,23,-1.082428485503098,3.407018024823631,-2.962985341895719,0.5804324305780152,3.105686688254146,0.5145284701916952,-1.480398063640006,-2.317840287545276,7.3597132631670705,2.8142843687688432,0.38562563528534594,3.7228635026230372,-0.6962442036695994,-3.3433045762350733,5.6200242097467275
11,17,12,8,60,10,22,18,11,14,21,56,13,24,17,23,-1.1132849101681765,3.538449386154871,-2.989354710770247,0.7290372820659049,2.955471141232352,0.4048493826684468,-1.5308454830467992,-2.270833200146455,7.58831974174548,2.6034929415987156,0.38777584471127324,3.825898281440741,-0.6855411443365603,-3.6392614727238013,4.5254226878875246
12,16,13,9,60,10,22,18,12,14,21,56,14,24,19,23,-1.1114666355913556,3.5804713554667504,-2.740895790842211,0.7864001200822066,2.9262523808911474,0.43688800955842694,-1.5844226215733328,-2.276914161572107,7.631778097502519,2.6367903806407664,0.3881451275969444,3.893612677554833,-0.7295569784224408,-3.659401858936774,4.6174533626508145
13,16,13,8,59,12,26,19,11,18,20,56,14,26,20,24,-1.1074140553535907,3.3994283628889295,-2.747650105430025,0.7576998629471544,2.6225844724921776,0.4508046513123011,-1.6293045088842806,-2.303014375997676,7.44013724197618,2.6985791086136315,0.3552998186693198,3.754247092111505,-0.7346332452851425,-3.406269059864062,4.729982647941199
14,19,14,8,58,12,27,19,11,18,20,57,14,26,20,25,-1.1260585418012587,3.519569258755303,-2.713192803363219,0.7991967530996444,2.537463475530149,0.4993952028476562,-1.6513803212658178,-2.3338053396319283,7.266847526709296,2.634820103664122,0.35255004298746867,3.7248617417167296,-0.6945583357874565,-3.573454577364174,4.665736709660115
15,19,13,9,58,13,31,20,11,19,23,58,15,26,20,25,-1.1440412959195088,3.4541136346172956,-2.7521848578861223,0.8022789599443432,2.5808397480222287,0.51387950327565,-1.5609230598597683,-2.3410931014249763,7.168172189701169,2.6297832446857985,0.33228219323694314,3.604128901865396,-0.6949514275783417,-3.5148030899542397,4.724637689737404
16,21,14,9,58,13,30,20,10,18,22,60,14,27,20,25,-1.0912840260904684,3.4587652516641585,-2.79226174119815,0.871802940521085,2.6514053406359164,0.48194736501183427,-1.620621642382071,-2.33323915482584,7.235365679193796,2.608133193828942,0.3494085166474178,3.6041458298778952,-0.6775608064539224,-3.612390880036525,4.9252340492395055
17,21,15,9,61,13,29,20,9,20,22,63,14,28,20,27,-1.1138324602857688,3.4851219971302494,-2.8927082055269273,0.8503751458196348,2.73122488718811,0.4482042080286586,-1.6366399923240227,-2.1913068792521684,7.266005730047241,2.6076485251955557,0.36181541834201275,3.5948058738225916,-0.6762715213499548,-3.5346608844778378,4.872089149177709
