time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,population_run_7,population_run_8,population_run_9,population_run_10,ca2mean_run_10,ca2mean_run_9,ca2mean_run_8,ca2mean_run_7,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
1,8,19,27,7,9,19,11,4,9,17,1.8940340229839574,2.5342142158322787,2.979613907034308,3.304357434726348,1.850701258166068,0.7024355629673904,0.1342984842082581,1.2773763453883482,2.340656496658959,1.6240610796270782
2,15,35,56,13,21,22,15,6,11,21,2.6759332924494514,3.2985036840060284,4.766387137734935,5.844117556780929,2.93074882844912,1.6977246823240653,0.18178061922970554,3.0579640350020676,3.6460633885441807,2.105451861440713
3,26,49,81,20,35,27,18,8,13,34,3.5363101951448326,3.2792691239390317,6.123010634240009,8.426048807462383,3.9068226545918265,2.9434608557952204,0.23684156338237594,4.7211819217095945,4.979736196334264,2.473215556528065
4,33,57,98,20,39,31,22,9,16,38,4.171046353746508,3.868982319706352,7.3051876607714155,10.515795534658887,3.9373588183583887,3.794496846696396,0.26013995299882503,5.762129138850403,5.913113548828379,2.8979954946493303
5,44,59,110,21,42,37,25,10,17,43,4.663309444699655,3.8760353934219314,6.665473313032631,12.766617871474136,4.652595932835281,4.424798274801213,0.28648982115824134,6.473747932330505,6.3195142516905225,3.4141841029169937
6,45,62,118,22,43,39,28,12,21,46,5.070895887762302,4.271637655321046,7.449386843099309,11.457197357669811,5.103817867554202,4.918310790915339,0.29593998474485683,7.344579570281614,6.682564934843635,3.829863157464009
7,46,71,121,23,43,44,33,17,21,47,4.884708313064032,3.9987685457209583,7.836188334707189,12.558700740960814,4.873542340584177,4.896658512420861,0.35960834229041566,9.092205837267908,7.399737976149765,4.053988608203964
8,49,74,127,23,42,47,39,17,24,50,5.052901517933326,4.244986055553979,8.48771683827787,13.383279953411085,5.084035848217554,4.946921952348504,0.38061007675717623,9.484606795361227,7.531885639753243,3.941346352139233
9,50,80,134,22,43,49,41,19,23,49,4.6754368946612335,4.097524205206295,7.972899311734182,13.583200775856419,5.005558005408354,4.922123401361991,0.382654151490926,9.220970519130372,7.505423091421914,4.07169079730665
10,48,82,129,22,42,54,40,22,24,51,4.589598174166354,4.168567093913779,7.643630278176062,13.050462929547995,4.937305159925607,4.650051255344025,0.3589616877223441,8.893830195378175,6.722480719356226,3.956032921437803
11,49,81,120,22,38,50,38,24,26,46,4.114252983448218,4.029836278985893,7.071831772324223,11.96549882383069,4.487424898513655,4.196085297593658,0.3348736476312128,8.194446599024596,6.830281457128655,3.6850759660532337
12,44,72,113,19,35,45,38,24,26,49,3.467671687992952,3.6996391112072975,6.3913105058411475,9.314648668131037,3.970470333100374,3.572606335263156,0.303487878669079,7.12962069095181,6.165044382013915,3.392827899953952
13,41,63,105,18,31,44,36,25,26,46,3.003168573195299,3.140582512972855,5.017289237693451,7.334255403638981,3.244549949974411,2.6993451708479905,0.2579625940863909,6.010771363004866,5.222473288162513,2.976031157585543
14,34,52,82,13,28,40,34,24,23,43,2.45912983782982,2.823718453353021,4.061821256818683,4.895555272765358,2.4416614021749647,1.8338615692124103,0.21280848025563512,4.32679364101229,4.10741240346335,2.5667518219041527
15,26,34,46,4,14,30,25,22,21,30,1.8525036289431387,2.431391974422883,2.9510837895406468,2.770595629080028,1.5885512370613157,0.9551634536000065,0.15960949423656343,2.7395559440962907,2.7189103758583903,2.1348509854612456
