time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,population_run_7,population_run_8,population_run_9,ca2mean_run_9,ca2mean_run_8,ca2mean_run_7,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
1,288,407,327,412,297,285,309,297,360,240.88501620943688,-1668.6334023832067,383.70008844877674,-223.7130631105812,974.4616148294581,32.77022440265879,-247.87590551197673,-41.987946175315095,-784.9907615987851
2,420,564,461,707,391,400,400,420,545,520.4459748656583,-3125.8557973564507,709.7322625437259,-482.50038644205193,1768.2179116802527,416.8276958883658,-525.7346724007039,-64.55813252249025,-1615.4942750493883
3,568,739,625,894,496,548,522,542,679,735.6911305073179,-4551.602418940231,1142.592533014921,-677.9155688983267,2590.9165511095903,695.7532384976296,-759.290323703547,-83.27014059721664,-2170.846403929216
4,750,883,754,1149,595,705,614,661,825,920.3335454965367,-6201.3422557709055,1563.798407035765,-819.3073116701353,3643.445098492624,894.5199325863737,-1025.1750333149266,-83.36827643034849,-2994.111360175842
5,919,1006,878,1335,670,872,697,748,964,1015.7985647959542,-7815.743679783024,1856.1327049990787,-985.5406001688829,4423.678335078433,1050.9217910194532,-1250.6459360233182,-50.55694559674172,-3601.4020588045896
6,1066,1140,1034,1506,795,1055,828,856,1165,1085.0769451017322,-8742.42115007603,1804.8427056198816,-1186.9469592386602,4158.530742732121,1199.2636184568676,-1181.022141627897,-126.35920832055014,-4002.735807910858
7,1212,1251,1137,1692,892,1186,951,970,1360,1157.7640462679701,-8276.563124588909,1950.840187024812,-1272.2742553743483,4693.635289206842,1291.479384927379,-1201.558586837732,-68.47277665418322,-4409.870204236411
8,1306,1350,1278,1876,960,1268,1059,1049,1453,1215.9201631224537,-9061.56616467747,2019.933344859571,-1232.8028730575793,4809.524724746749,1382.1171165676597,-1214.2097817821523,-155.69024251516942,-4551.380353169668
9,1329,1441,1400,2009,1024,1402,1138,1130,1542,1212.777223110326,-8373.877253286888,1978.375913766312,-1197.041662388993,4685.0945336314435,1391.449750933961,-1150.059924204955,-198.576861680991,-4520.953680998796
10,1315,1468,1453,2085,1059,1482,1149,1176,1568,1119.0417202833219,-8447.244478691466,1794.6355531428314,-1131.0425621475981,4078.3362803899836,1390.0554489754552,-1201.6269654681498,-212.99630550247505,-4200.497355078367
11,1286,1508,1463,2148,1073,1478,1191,1215,1606,1046.317826545472,-6644.387390127147,1498.1148643458941,-931.8167951181913,3530.704655451529,1247.460672494948,-1056.1546782414366,-324.0731600652821,-3730.6620770142927
12,1178,1495,1421,2103,1046,1489,1163,1248,1600,884.7202426195605,-5573.920326796348,1254.1368960655595,-813.7130507385114,3047.3285603271424,1053.4928531306796,-886.8474674875088,-309.59776251953303,-3113.921990939941
13,1038,1439,1284,1964,932,1346,1084,1171,1483,676.3024522216582,-4444.814908417782,975.5062894753287,-639.2155910615836,2239.9187125802396,790.8153868520452,-698.1830407030604,-220.3090450270283,-2387.020277186968
14,778,1184,1037,1682,739,1147,858,989,1251,430.8009875777819,-2809.623771899189,630.0401169204089,-392.0533474199528,1473.5990761818782,515.3978600694053,-446.7510062727528,-139.60651729342808,-1560.3009277581943
15,400,715,588,1098,384,638,430,577,761,185.33833433503574,-1167.495991790442,266.9554224180953,-168.11839598161288,630.5669318217499,218.73334845714106,-192.03895179459926,-79.8820612400794,-579.3515008132644
16,177,375,263,635,168,262,151,234,463,-77.34769269239841,465.3389124915368,-111.08126279242603,71.77893745874275,-270.91797467715224,-89.9089554674442,79.6247945067346,33.303064197354466,245.58482522763651
17,811,1183,968,1590,700,1132,836,1010,1263,-337.76458974544954,2104.332857300273,-493.22170790439066,317.97462890253814,-1194.908109069164,-394.2381865135559,354.2896529220485,131.44187370750186,1010.2934040992841
18,1355,1655,1397,2199,1149,1646,1307,1488,1778,-589.3329198964624,3768.364546110918,-842.8962822175453,560.9119034026268,-1990.548571692112,-683.6377463431442,618.6578925614369,241.23341922599815,1857.7313744627734
19,1750,2017,1771,2643,1499,1997,1716,1885,2153,-769.6276705025607,5154.904356572003,-1160.3308000770655,765.0717492640435,-2791.112261651558,-944.567823407894,781.8857534246739,344.3914038656602,2611.8319444874314
20,2029,2277,2087,2957,1788,2284,2019,2164,2491,-941.653658412807,6176.6744613135115,-1437.0373980980366,946.8433635065026,-3265.8586704905747,-1169.8539311393881,976.5699109086386,445.411066265967,3290.6874225583565
21,2386,2504,2367,3254,2090,2525,2258,2428,2728,-1079.0508093470287,7174.849402443033,-1660.0723935892354,1095.2113674814043,-3814.3548688228625,-1325.1990685012327,1130.4039639725731,490.5592449729252,3593.267375934831
22,2593,2709,2562,3466,2277,2676,2489,2653,2937,-1181.6789540590344,7878.485990421754,-1804.333638557097,1202.0919437784262,-4111.154983030515,-1392.4808157006266,1210.8402661341777,494.0167752499632,3913.3710445139177
23,2809,2883,2741,3655,2446,2809,2654,2830,3077,-1239.6579432937551,8175.314517676364,-1862.191456497705,1258.4681338311166,-4410.980969557992,-1470.8584107278066,1231.7447481590427,512.2131536418078,4116.786319908791
24,2900,2992,2944,3745,2568,2902,2770,2989,3193,-1239.7985588843812,7889.125095446868,-1853.8284928528528,1258.270705788787,-4398.979664107737,-1432.2259319573998,1233.3888029553723,589.7512030891265,4145.2478933253915
25,2985,3068,3015,3803,2624,2949,2884,3040,3224,-1183.5694019891066,7690.116324062594,-1798.0913986330374,1210.4698175680244,-4245.451107661056,-1365.9046790097068,1149.0091393413159,583.9047523144966,4036.6304394485187
26,3021,3103,3046,3814,2620,2958,2910,3057,3276,-1061.9081796768805,7105.24198963411,-1620.3734005636852,1061.3707691618743,-3871.487488729664,-1263.2051316457478,1070.4782621525183,537.7979130398257,3712.2149936519863
27,2983,3089,2964,3730,2535,2919,2854,3017,3228,-925.7853109997856,6016.281918434332,-1406.0495655540387,942.7536116623423,-3361.318492984004,-1101.8716207046764,938.4073181440216,470.22738890693984,3198.631098924964
28,2831,2986,2807,3529,2365,2778,2721,2931,3091,-742.6707328024389,4921.85086795546,-1142.2975998033187,774.1238913210457,-2731.0351625198045,-896.7013871151603,771.3242928213573,407.05264468051615,2638.6313382727485
29,2523,2696,2538,3183,2104,2466,2387,2635,2822,-543.135291795477,3649.661345845793,-841.10357223818,570.1035733160049,-2000.0323508771019,-648.985444234215,549.7592436073852,328.63688638747334,1957.5917026174202
30,1935,2166,2017,2563,1558,1908,1846,2055,2243,-329.82712755187276,2205.939274258967,-507.93379435045455,339.74325471217725,-1185.10268052532,-387.8517644640055,338.5698153702039,205.04711519817127,1159.0308920100065
31,700,881,760,1094,473,615,599,817,988,-97.38059210795845,655.7565260994527,-150.09777019730814,102.46107551807896,-347.563234112498,-112.00284308208676,101.01871822081928,64.14045375500018,337.7024511046992
32,1077,1257,1116,1609,774,1037,959,1163,1303,138.44064230270885,-908.899425003802,210.77497368809946,-137.43052358311243,493.6544718102523,158.4114027291699,-139.51642468382298,-91.72633140613331,-476.676976317772
33,2341,2443,2376,3079,1900,2268,2210,2437,2583,360.5221611076901,-2400.8788915536857,564.4814685982828,-374.58520014681665,1317.7430506418532,429.40715007405885,-375.2983326299581,-253.59498625430615,-1283.837259293814
