time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
1,130,200,158,199,130,193,-29.506837479349183,-1.6904765912468014,1.6308368609939672,14.020964585595918,-104.82529316304628,-7371.205706758149
2,127,198,154,198,131,197,-29.487557675516,-1.7510166447458253,5.73841777415415,13.088029931705504,-106.69739377203696,-6154.858171781057
3,129,206,160,205,125,209,-29.691048424476485,-1.6813466315091443,53.6175199164374,14.250288768558466,-107.48962749203572,-5520.192889261032
4,133,217,161,198,131,225,-30.891585568434017,-1.7342778935296979,76.57578501881478,14.101817646512094,-115.57518473673267,-5260.221767540554
5,134,229,156,199,128,229,-30.77792079835582,-1.7004561066899087,77.07287923246082,13.861343723372897,-147.78283226494875,-5323.566135176635
6,131,240,149,192,127,232,-32.74137665907241,-1.9094103581843496,111.09110554035256,13.43423108354111,-156.65335099426895,-5324.134485287143
7,139,245,136,184,119,250,-34.95171834605856,-2.0239693603859217,126.39391877180512,6.728130339772236,-160.70973652834027,-4892.721085473931
8,141,253,138,186,109,257,-35.08645901608789,-2.139005170392421,131.26981136985523,2.669237461369988,-165.35065370665336,-4972.032439477532
9,135,255,131,186,97,255,-34.1043639787014,-2.026705944050265,157.7457170451519,0.4618315952447191,-177.94319737529497,-5037.8775431439
10,133,250,127,180,77,261,-34.16098668258957,-2.0722427392851186,176.69164298285594,0.02505264470115718,-181.27314045946773,-5037.79966539856
11,136,240,126,174,65,262,-34.65410796100343,-2.0738572515858316,197.14278907474602,-4.155768854189537,-171.81639055587522,-5037.880196917581
12,130,238,122,164,59,264,-31.460692172106228,-2.0748656421614418,203.01857588145566,-10.675932369316234,-173.00999197831322,-5037.8251889093945
13,120,236,116,155,58,272,-28.491167153482404,-2.515764201627812,211.50329646588787,-15.4350271854386,-173.11696045244418,-5037.994329382203
14,119,240,109,163,60,271,-26.453100222852957,-2.557236059159246,219.94073450697928,-18.53791120105127,-175.7560019723111,-5037.911189222967
15,118,235,109,162,61,266,-26.21917075316577,-2.6226757921006905,231.74579902949068,-26.913511889013513,-158.26822594299415,-5038.072941580317
16,111,241,97,157,58,271,-25.305507733589547,-2.9544649486811574,328.83082641534713,-33.39653614484454,-158.50553542849187,-5057.396043780437
17,106,241,96,145,58,272,-25.39863120139829,-4.502412587071919,347.83445060701956,-39.24979718779975,-144.00762822738113,-5058.050691555999
18,108,239,93,139,59,286,-23.975856939667224,-4.797551286394386,357.3660476567951,-39.98990090309001,-135.94042611854175,-4542.591140387199
19,106,244,91,132,62,285,-23.886600775023773,-5.143920214407194,381.896608627019,-40.22869957309144,-124.96962968805605,-4279.4297277182895
20,108,252,90,131,62,289,-23.441572148249993,-5.203337393119216,411.4880989938523,-44.72369659892914,-115.7439801222929,-4279.675085131155
21,106,269,87,127,65,295,-22.5427332986538,-5.404610929180355,422.0699810297238,-44.93003071396613,-115.06712672187614,-3954.0707683311593
22,111,271,82,127,67,294,-22.15070960189753,-5.694996422003339,428.8039480999666,-46.45951855925873,-112.35277923554983,-3674.2123725718434
23,113,282,83,125,70,301,-21.0327228168082,-6.263148649377187,429.4640701963099,-52.74630451058405,-105.93245819972758,-3674.28476262625
24,126,286,89,136,70,296,-20.588381406317932,-6.897771958814528,444.33314079559807,-69.92936760876243,-104.52101643438327,-3226.1123831322357
25,137,291,86,137,70,291,-19.333357550875668,-6.937922317917636,539.2526647556314,-76.57226612769924,-100.19096766036034,-3226.294124341928
26,164,301,85,148,75,286,-19.515956650382748,-6.799146745938649,547.6004228784891,-78.10100631256387,-93.98213108467027,-2943.603138259358
27,175,298,85,150,80,283,-17.38289746364048,-7.164892731538878,580.380770783379,-78.45589628824101,-91.2954662750451,-2722.6541425871374
28,177,309,85,150,83,285,-17.62345450934221,-7.45683841409848,578.8406518392632,-82.39467178124524,-90.58979790488112,-2754.198951502202
29,190,318,87,170,88,290,-17.593423687099417,-7.641714555156071,615.2905880258346,-87.47555516830143,-84.05070474028471,-2754.028194345693
30,200,324,87,178,88,302,-17.32083766228203,-8.956351865526411,700.3189301625821,-89.20515996371168,-83.48463936240195,-2527.7598821873985
