time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,population_run_7,population_run_8,population_run_9,population_run_10,population_run_11,population_run_12,population_run_13,population_run_14,population_run_15,population_run_16,population_run_17,population_run_18,population_run_19,population_run_20,ca2mean_run_20,ca2mean_run_19,ca2mean_run_18,ca2mean_run_17,ca2mean_run_16,ca2mean_run_15,ca2mean_run_14,ca2mean_run_13,ca2mean_run_12,ca2mean_run_11,ca2mean_run_10,ca2mean_run_9,ca2mean_run_8,ca2mean_run_7,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
1,27,23,25,22,12,22,14,8,22,15,17,7,12,14,14,2,9,4,16,32,-1495.1586496916666,-1402.5230572083608,-1329.7530364764168,-1238.6392244135263,-1182.191918908105,-1101.9408552296127,-1004.0997079182685,-935.6035729830611,-842.071589178927,-776.8456187278982,-707.4845811739536,-609.0857665321668,-536.9589680817578,-444.8936137108467,-382.4511291760878,-308.8201504615224,-221.48485580201606,-152.22069102024832,-60.13863360888207,13.742179129533655
2,40,37,31,27,18,41,19,15,23,18,19,14,14,18,15,2,12,4,19,36,-1494.8043942239005,-1402.3833993942583,-1329.7439574286725,-1237.5539777848714,-1182.1655837506578,-1101.803833380826,-1003.8678709920096,-935.9652832043797,-837.7523028640588,-774.986817699644,-707.3049300210973,-608.9197429846743,-535.2422767257722,-442.5956023653747,-380.0644227958391,-305.29532442521975,-221.2480759060897,-151.70918857876683,-56.94175865570109,13.01467306805267
3,50,37,32,28,23,56,21,24,25,19,25,16,16,16,20,6,17,6,20,38,-1494.4957750027756,-1401.0151198258732,-1329.6570772171208,-1239.4950130637399,-1181.9616564222881,-1101.6811642099603,-1006.7174177731223,-936.3817765370068,-842.8243648534867,-774.2054125876577,-707.2187871674072,-609.7645210993534,-528.5676636301775,-444.35962175073394,-379.28892573734015,-304.16005796390414,-220.95859165899944,-151.84257652852887,-56.52802326126165,13.808476246741247
4,53,38,35,34,23,60,23,29,29,21,34,19,16,18,21,7,18,9,26,38,-1494.648713109769,-1400.6706129195743,-1329.889619256702,-1239.992996871446,-1182.0823571204248,-1101.5440897480405,-1006.9874331084517,-936.2170417396244,-840.0489614572105,-773.677442501679,-707.4035569712848,-606.9802407250503,-527.8570116938796,-443.3817195986428,-378.092756112463,-303.90440073314795,-221.19558507144444,-151.11063599418372,-55.28444306947142,13.92359427733816
5,54,42,39,35,23,62,25,29,30,20,35,18,19,20,23,7,21,10,22,38,-1494.6116056723356,-1400.610518312693,-1329.1582371470988,-1239.2096040476779,-1182.0547016868375,-1101.3611766351792,-1006.5214957490296,-937.126930737437,-839.0166626555367,-772.9774936408012,-707.3449374385393,-609.1689166788142,-524.3362278777354,-442.58077246154795,-378.7486103550719,-304.1809707880316,-221.26078240294532,-151.21910312531764,-56.979967364293195,13.944807831858368
6,61,45,39,38,25,60,26,32,36,20,36,20,22,20,23,12,24,12,23,38,-1494.7103675987717,-1400.2566400523258,-1329.5527616612792,-1237.023047696178,-1181.9155205097911,-1101.3646992768217,-1007.1885575180504,-937.031023297113,-841.3259570759246,-772.7666249094817,-707.3941391201247,-609.7744615988371,-523.4743663473395,-441.95229372872745,-378.4782707194606,-303.96536235509103,-220.93625756647737,-151.10104910287623,-57.66822396458129,14.677381789064128
7,64,47,39,43,30,60,27,32,39,21,37,24,27,20,22,13,25,12,24,37,-1494.6539887539732,-1399.915972776756,-1328.9089051478306,-1239.4730722782936,-1181.7706286651112,-1101.1667270768733,-1005.7288351016962,-936.8794135071072,-839.9269960370059,-772.3323640277425,-707.3535990758436,-609.5717941934382,-523.332006757128,-441.227447298059,-378.8989513691715,-303.7181033394662,-221.08690247173269,-150.95350313937533,-58.43083435152564,14.984114171707759
8,67,50,39,46,29,62,27,32,44,23,37,29,26,23,23,12,27,12,24,36,-1494.6095756629022,-1399.9185308369726,-1328.012282736765,-1239.6423586977342,-1181.8615455802503,-1101.2093658428769,-1005.8243286136477,-936.595189524157,-840.3834331185528,-772.5670725205039,-707.2572622692295,-608.8743593323139,-522.8454848460594,-440.7004699644847,-379.4283986335381,-303.5301710123708,-220.90617659608068,-151.13974508910283,-57.265096907062485,14.923189013858183
9,71,49,39,47,29,65,27,32,45,23,38,30,28,23,22,14,27,12,24,37,-1494.564690301225,-1399.5527183760557,-1327.7133551171119,-1239.565377822154,-1181.854698428477,-1101.144191398864,-1005.432896072317,-937.109812871923,-841.1623747484413,-772.2025139241218,-707.2175896962539,-609.3921031888425,-522.5690485133052,-442.0322961787799,-379.149136201938,-303.29254482732415,-220.89677172836497,-151.24768803757416,-57.39306324632246,15.07902812690438
10,78,51,42,48,28,64,31,31,47,23,39,31,28,23,24,18,27,13,22,35,-1494.5963416708444,-1401.5945806695463,-1327.5055723849873,-1238.2503553775086,-1181.7216830102716,-1101.3644777421534,-1004.7941224450883,-937.0866732848613,-840.605741235506,-772.0788330249508,-707.1299063160968,-608.8577669184702,-522.2013579180591,-442.89601519299913,-378.92055363714223,-303.4902990374581,-220.7780925684938,-150.97971598893838,-57.110688529660116,15.06567676790267
11,81,55,40,51,28,66,38,31,45,24,44,33,28,26,26,18,28,13,24,34,-1494.6209772705965,-1401.4873657703135,-1328.347700957036,-1238.2669732891923,-1181.696134498988,-1101.2464877568545,-1006.6667969993794,-936.9573656061815,-840.4473315584761,-772.6381631002895,-707.1110715501327,-608.231538823977,-525.0757011992434,-442.0426365991119,-379.4407998526516,-303.2878156877314,-220.7086495466315,-151.03631784288694,-57.27486951425898,14.769073539238697
12,86,59,44,52,31,68,41,33,46,23,47,37,30,28,28,18,29,13,27,32,-1494.6088215652221,-1401.9149398484367,-1327.4655630370141,-1237.8000843339828,-1181.6681956579994,-1101.1197242204926,-1006.0766282629307,-937.2226348329527,-840.305176443953,-773.457916589757,-707.0945343586485,-608.3010507408496,-524.3897157121776,-441.1827193579613,-380.1141177047923,-303.4885783290838,-220.84291587518732,-150.9664336835182,-57.75697464540373,14.85685717567783
