time,population_run_1,population_run_2,population_run_3,population_run_4,population_run_5,population_run_6,population_run_7,population_run_8,population_run_9,population_run_10,population_run_11,population_run_12,population_run_13,population_run_14,population_run_15,population_run_16,population_run_17,population_run_18,population_run_19,population_run_20,ca2mean_run_20,ca2mean_run_19,ca2mean_run_18,ca2mean_run_17,ca2mean_run_16,ca2mean_run_15,ca2mean_run_14,ca2mean_run_13,ca2mean_run_12,ca2mean_run_11,ca2mean_run_10,ca2mean_run_9,ca2mean_run_8,ca2mean_run_7,ca2mean_run_6,ca2mean_run_5,ca2mean_run_4,ca2mean_run_3,ca2mean_run_2,ca2mean_run_1
1,3,3,23,7,21,6,8,14,7,13,12,11,7,13,37,18,4,25,4,23,6.656120836504603,5.326285769270121,23.69381019864859,2.2982390259738756,12.006102156951009,10.314444697018034,10.989052620144678,6.860124419434295,28.753519241254537,1.75458447860958,17.53892852945505,16.20733756082283,9.100325129716854,-0.6542563976522027,1.5015635141065304,5.58308932205749,1.469698947918915,3.2832262666107357,-0.671668725164276,6.14536036619665
2,5,5,24,11,22,7,11,20,9,16,14,13,14,22,44,25,7,41,5,24,6.836415601443339,4.999945251914222,30.761644216766566,2.4752221460704207,18.831335224980908,11.596609456230102,13.07434567401518,8.648871846997308,29.416343271135094,1.8221483162477095,17.324860311572845,17.89849757824543,11.768496329093002,-0.6954646929468795,1.8252601671376745,5.463510340535574,1.5594401324911835,3.0513617115824117,-0.7280481683941696,6.448336857839905
3,6,6,24,13,25,8,13,29,10,19,19,14,18,22,47,25,8,43,7,25,7.052779432643995,5.390866481697499,32.33461971431849,2.522790431089503,18.670796207495222,11.574335025057676,12.85898166318424,9.085331072556025,28.583143848446696,2.0555476991876884,17.848385796466808,18.704502950807367,12.733526815679387,-0.6229374846421113,1.8719511264551059,5.58942231983745,1.5464763052459198,3.506615685742743,-0.733714402079586,6.960787283268029
4,8,7,25,13,27,8,15,32,15,24,20,18,20,27,50,32,9,49,7,26,7.217740283812894,5.404824786348706,33.46502825439338,2.603172283919431,20.65604818685675,12.055007940819063,12.578858223540555,9.213281344049802,31.962178925543505,2.294907868502543,18.895098088414482,16.82421583663774,14.21570843629762,-0.6307619343396704,1.8840449533121577,5.753974171155903,1.525508868932766,3.5608284006584285,-0.7844307617597319,6.481930655499654
5,10,7,24,14,30,9,17,33,18,25,21,19,20,31,52,33,10,52,7,28,7.748912678515606,5.410271952255844,34.236213395387516,2.2722252590742107,21.605963423385866,11.9635824565963,12.373568695971127,7.888761737816033,33.03744948632283,2.4081322263581124,19.893204492354204,17.206186764586196,14.242303604829386,-0.5670960881441925,1.9325502773584042,5.621375479387249,1.6193422503213395,3.041503015805914,-0.8096762418500455,6.921603971702383
6,11,8,27,15,35,9,18,35,18,25,25,20,19,34,59,33,10,53,9,29,7.7889958725123485,5.857339249361355,34.361981511276824,2.218539437844097,21.461983896780737,11.876583486050476,12.494779892052307,7.7168780885247825,33.07442832078092,2.54441756044569,19.371494362621167,17.320994076407455,14.30045301042907,-0.5930780346162859,1.930975112165842,5.56835939310388,1.6051902272888374,3.344026071671042,-0.6805485754472751,6.988661000112667
7,12,9,29,19,35,11,19,37,21,26,25,18,23,36,61,33,11,54,9,31,8.136403429748277,5.9039770584677695,34.60461852431648,2.3266985749839506,18.829242573550548,12.2629114569801,12.540766778343473,7.613314617634845,34.615256640936344,2.552389149465358,19.660638587559266,16.310927809218025,14.722211034034734,-0.603046182507558,1.9736802730447687,5.689765510144244,1.5537380161989507,3.164794164240936,-0.7002918397469806,6.9953289893268815
8,10,9,30,20,37,11,19,37,23,25,25,18,23,37,61,37,11,54,10,31,8.305455298864494,5.1524680969861105,32.71478834631058,2.343377555476624,21.31707035666655,12.314332481229506,12.926554793126146,7.6702639901954655,35.84799876553409,2.444658778010191,19.84488375846124,17.10727151213153,14.82043112952138,-0.554886719225969,1.9483096415511838,5.927225956988738,1.6000570407544883,3.4010288933864192,-0.71796490100252,7.2502568021142775
9,12,9,31,23,38,11,21,38,23,26,25,20,26,36,64,39,13,56,12,31,8.38703441489233,5.188854209847798,33.1019206872176,2.374749371197961,19.502052998896854,12.419578668998009,13.029684037990684,7.788604630706309,31.379236711922385,2.5143163159517368,19.04212409180834,15.833411360609164,14.97491645378687,-0.5824496008159159,1.9637280077856496,5.644070843002245,1.7369051334634233,3.4308840764994075,-0.6587208777286512,6.219279088629183
10,12,9,33,24,41,11,20,38,23,26,28,22,28,40,66,44,13,60,13,33,8.04109354446089,5.272491803058828,33.62864556094724,2.3836185981949174,19.667523172126792,12.476432446636878,13.04348953606671,7.8049533529733965,30.324258113870904,2.620343797187153,18.33693946296323,16.266297303519018,14.372336008817856,-0.6065846918541176,1.9921341949599143,5.591912919511644,1.7517464661760023,3.2782922772789647,-0.6930333590471388,6.367415510919992
11,12,10,34,26,43,12,21,38,24,28,28,24,28,41,67,46,13,62,13,34,8.190444395903532,5.748699022362686,34.09656635769256,2.396721892625677,20.15999149582164,12.308149023013419,13.052884347053315,7.840224874038058,31.749882728304915,2.664327064414725,18.78676690543868,16.451265026448343,14.450819026317248,-0.6050409880620045,2.0360747700858943,5.706888252304855,1.713213721891113,3.2492185827786444,-0.7101091888718875,6.197962167250537
12,13,11,34,28,45,13,22,41,27,29,27,25,28,42,67,48,13,66,13,33,8.270473987689902,5.785934400552157,33.88175301786686,2.39680225333386,20.591764676018386,12.37187787414044,13.416296113919461,7.835454196897327,32.59761326696646,2.658332781826587,18.88911299460923,16.887115690719984,14.230515899337973,-0.5367305081039533,1.9605155832823302,5.770894940726945,1.7274685565415657,3.210191245433036,-0.7211743067400636,6.820207235019343
13,14,12,34,29,45,13,22,43,30,27,27,26,27,42,67,51,14,67,13,37,8.340056343409497,5.865845730973197,33.958024202847696,2.4185215846482873,20.80142571824221,12.529399216330502,13.506072311890529,7.362774529465276,31.371205363155674,2.519854334264075,19.028404433041995,17.196997946714983,14.46087569119777,-0.5539795066079519,1.9534765307021404,5.769606334950743,1.6917259213716251,3.304230503466851,-0.7018108638258107,7.043741837835802
14,15,11,34,30,48,13,23,44,30,30,26,28,26,42,71,52,13,69,13,38,8.335535653129098,5.297608945732468,34.174158736552435,2.2148016342076535,20.93564593600099,12.50551098922214,13.30745672075224,7.450533963894531,29.494598973762184,2.492164354988449,19.2303975438934,17.31281857560844,14.549187288868458,-0.5870413771218715,1.9802025647211743,5.737887468371447,1.666576389486365,3.358681616992187,-0.6904861863508035,7.113500099913425
15,15,12,33,31,47,14,23,45,31,32,26,34,27,42,74,50,15,70,13,40,8.340543732153677,5.592233303671262,33.40420076802007,2.3478285570447825,20.98353411184846,12.61125501916116,13.207616283689603,7.590821126944981,30.96022229037424,2.472035869035615,19.468757162060044,16.217244447404223,14.628003101655851,-0.551947563143016,1.9576819854799736,5.793020895458373,1.7089425115471024,3.3624176835520854,-0.6970042885257196,7.124503797978802
